tau,x,y
3.4124999999999996,2.417281014012146,0.0
3.4124999999999996,2.4347343065320897,0.0
3.4124999999999996,2.452187599052033,0.0
3.4124999999999996,2.4696408915719763,0.0
3.4124999999999996,2.4870941840919194,0.0
3.4124999999999996,2.504547476611863,0.0
3.4124999999999996,2.5220007691318065,0.0
3.4124999999999996,2.5394540616517496,0.0
3.4124999999999996,2.5569073541716927,0.0
3.4124999999999996,2.574360646691636,0.0
3.4124999999999996,2.5918139392115793,0.0
3.4124999999999996,2.609267231731523,0.0
3.4124999999999996,2.626720524251466,0.0
3.4124999999999996,2.644173816771409,0.0
3.4124999999999996,2.6616271092913526,0.0
3.4124999999999996,2.679080401811296,0.0
3.4124999999999996,2.6965336943312392,0.0
3.4124999999999996,2.7139869868511823,0.0
3.4124999999999996,2.7314402793711254,0.0
3.4124999999999996,2.748893571891069,0.0
3.4124999999999996,2.7663468644110125,0.0
3.4124999999999996,2.7838001569309556,0.0
3.4124999999999996,2.8012534494508987,0.0
3.4124999999999996,2.8187067419708423,0.0
3.4124999999999996,2.836160034490786,0.0
3.4124999999999996,2.853613327010729,0.0
3.4124999999999996,2.871066619530672,0.0
3.4124999999999996,2.888519912050615,0.0
3.4124999999999996,2.9059732045705586,0.0
3.4124999999999996,2.923426497090502,0.0
3.4124999999999996,2.9408797896104453,0.0
3.4124999999999996,2.9583330821303884,0.0
3.4124999999999996,2.975786374650332,0.0
3.4124999999999996,2.9932396671702755,0.0
3.4124999999999996,3.0106929596902186,0.0
3.4124999999999996,3.0281462522101616,0.0
3.4124999999999996,3.0455995447301047,0.0
3.4124999999999996,3.0630528372500483,0.0
3.4124999999999996,3.080506129769992,0.0
3.4124999999999996,3.097959422289935,0.0
3.4124999999999996,3.115412714809878,0.0
3.4124999999999996,3.1328660073298216,0.0
6.7749999999999995,0.008726646259971648,0.0
6.7749999999999995,0.026179938779914945,0.0
6.7749999999999995,0.043633231299858244,0.0
6.7749999999999995,0.061086523819801536,0.0
6.7749999999999995,0.07853981633974483,0.0
6.7749999999999995,0.09599310885968812,0.0
6.7749999999999995,0.11344640137963143,0.0
6.7749999999999995,0.13089969389957473,0.0
6.7749999999999995,0.148352986419518,0.0
6.7749999999999995,0.16580627893946132,0.0
6.7749999999999995,0.18325957145940458,0.0
6.7749999999999995,0.2007128639793479,0.0
6.7749999999999995,0.21816615649929122,0.0
6.7749999999999995,0.23561944901923448,0.0
6.7749999999999995,0.2530727415391778,0.0
6.7749999999999995,0.27052603405912107,0.0
6.7749999999999995,0.2879793265790644,0.0
6.7749999999999995,0.30543261909900765,0.0
6.7749999999999995,0.32288591161895097,0.0
6.7749999999999995,0.3403392041388943,0.0
6.7749999999999995,0.35779249665883756,0.0
6.7749999999999995,0.3752457891787808,0.0
6.7749999999999995,0.39269908169872414,0.0
6.7749999999999995,0.41015237421866746,0.0
6.7749999999999995,0.4276056667386108,0.0
6.7749999999999995,0.44505895925855404,0.0
6.7749999999999995,0.4625122517784973,0.0
6.7749999999999995,0.4799655442984406,0.0
6.7749999999999995,0.49741883681838395,0.0
6.7749999999999995,0.5148721293383272,0.0
6.7749999999999995,0.5323254218582705,0.0
6.7749999999999995,0.5497787143782138,0.0
6.7749999999999995,0.5672320068981571,0.0
6.7749999999999995,0.5846852994181004,0.0
6.7749999999999995,0.6021385919380438,0.0
6.7749999999999995,0.619591884457987,0.0
6.7749999999999995,0.6370451769779303,0.0
6.7749999999999995,0.6544984694978736,0.0
6.7749999999999995,0.6719517620178168,0.0
6.7749999999999995,0.6894050545377601,0.0
6.7749999999999995,0.7068583470577035,0.0
6.7749999999999995,0.7243116395776468,0.0
6.7749999999999995,0.7417649320975901,0.05729577951308224
6.7749999999999995,0.7592182246175334,0.028647889756541305
6.7749999999999995,0.7766715171374766,0.02864788975654112
6.7749999999999995,0.7941248096574199,0.14323944878270561
6.7749999999999995,0.8115781021773633,0.20053522829578785
6.7749999999999995,0.8290313946973066,0.716197243913528
6.7749999999999995,0.8464846872172498,0.7161972439135326
6.7749999999999995,0.8639379797371931,1.0599719209920215
6.7749999999999995,0.8813912722571364,1.7475212751490086
