corner,kind,x,y
LR LS,raw,1.263671875,0.0133566173430962
LR LS,raw,1.267578125,0.0062822494876126
LR LS,raw,1.271484375,0.0107378463922545
LR LS,raw,1.275390625,0.0095568343875224
LR LS,raw,1.279296875,0.007237788071491
LR LS,raw,1.283203125,0.0164103567471942
LR LS,raw,1.287109375,0.0123832412426359
LR LS,raw,1.291015625,0.0136061563759422
LR LS,raw,1.294921875,0.0074248194481545
LR LS,raw,1.298828125,0.0132063575656174
LR LS,raw,1.302734375,0.0074747552753921
LR LS,raw,1.306640625,0.0064078986854392
LR LS,raw,1.310546875,0.0093637613915333
LR LS,raw,1.314453125,0.0075678725601151
LR LS,raw,1.318359375,0.0083009395877328
LR LS,raw,1.322265625,0.0130245454665245
LR LS,raw,1.326171875,0.009293869542609
LR LS,raw,1.330078125,0.0036668373185476
LR LS,raw,1.333984375,0.0047937953149598
LR LS,raw,1.337890625,0.0044207317257059
LR LS,raw,1.341796875,0.0100802821824628
LR LS,raw,1.345703125,0.0093056483086734
LR LS,raw,1.349609375,0.0101251263527628
LR LS,raw,1.353515625,0.0047391690292689
LR LS,raw,1.357421875,0.0073841965036551
LR LS,raw,1.361328125,0.0058057661922728
LR LS,raw,1.365234375,0.0042907705603736
LR LS,raw,1.369140625,0.0059003373845418
LR LS,raw,1.373046875,0.0057814954700646
LR LS,raw,1.376953125,0.0059660242220196
LR LS,raw,1.380859375,0.0058947406941343
LR LS,raw,1.384765625,0.0026948403083378
LR LS,raw,1.388671875,0.0027704989288673
LR LS,raw,1.392578125,0.0064138302119049
LR LS,raw,1.396484375,0.0048775802984289
LR LS,raw,1.400390625,0.0032169999200704
LR LS,raw,1.404296875,0.004635797028342
LR LS,raw,1.408203125,0.0031733006171505
LR LS,raw,1.412109375,0.0030981292204032
LR LS,raw,1.416015625,0.003725074653596
LR LS,raw,1.419921875,0.0016891407134613
LR LS,raw,1.423828125,0.006331217313094
LR LS,raw,1.427734375,0.0009632997138654
LR LS,raw,1.431640625,0.0019187257321815
LR LS,raw,1.435546875,-1.5880237031058427e-05
LR LS,raw,1.439453125,0.0005751418291004
LR LS,raw,1.443359375,0.0025160872434771
LR LS,raw,1.447265625,0.0011631061327484
LR LS,raw,1.451171875,-0.0025593969617151
LR LS,raw,1.455078125,0.0034997505924547
LR LS,raw,1.458984375,0.0039132256261502
LR LS,raw,1.462890625,-0.0001655495446051
LR LS,raw,1.466796875,0.0019279646536183
LR LS,raw,1.470703125,0.0027871490594353
LR LS,raw,1.474609375,0.0001690479014252
LR LS,raw,1.478515625,0.0018439660932681
LR LS,raw,1.482421875,0.0012323167468006
LR LS,raw,1.486328125,0.0044122616287187
LR LS,raw,1.490234375,0.0029496920258404
LR LS,raw,1.494140625,0.000821105592248
LR LS,raw,1.498046875,0.004298591325001
LR LS,raw,1.501953125,0.0017396807219099
LR LS,raw,1.505859375,0.0001902351104682
LR LS,raw,1.509765625,-0.0022782333850699
LR LS,raw,1.513671875,0.00242726737834
LR LS,raw,1.517578125,0.000129411842979
LR LS,raw,1.521484375,-0.0001615177145122
LR LS,raw,1.525390625,0.0008377303796791
LR LS,raw,1.529296875,-0.0006740272901649
LR LS,raw,1.533203125,0.0004427804643003
LR LS,raw,1.537109375,-0.0007151048748855
LR LS,raw,1.541015625,0.0012435492003986
LR LS,raw,1.544921875,-5.5046008479349494e-05
LR LS,raw,1.548828125,0.0017023064781874
LR LS,raw,1.552734375,-0.0019999115704231
LR LS,raw,1.556640625,0.0007468892423657
LR LS,raw,1.560546875,0.0015711457083985
LR LS,raw,1.564453125,-0.0002196172790381
LR LS,raw,1.568359375,0.0004589491056915
LR LS,raw,1.572265625,0.0007673685160432
LR LS,raw,1.576171875,-0.0020736976948822
LR LS,raw,1.580078125,-0.0001936956773115
LR LS,raw,1.583984375,-8.686640174826349e-05
LR LS,raw,1.587890625,6.237946725240636e-05
LR LS,raw,1.591796875,-0.0009566690638092
LR LS,raw,1.595703125,0.0015516330148314
LR LS,raw,1.599609375,0.0001436936729466
LR LS,raw,1.603515625,0.0009305949222336
LR LS,raw,1.607421875,0.000309025740151
LR LS,raw,1.611328125,0.0003531115295805
LR LS,raw,1.615234375,0.0002717636140563
LR LS,raw,1.619140625,0.0027574480950691
LR LS,raw,1.623046875,0.0003257565178774
LR LS,raw,1.626953125,0.0003004026997985
LR LS,raw,1.630859375,0.0010545848497213
LR LS,raw,1.634765625,4.4902632228683995e-05
LR LS,raw,1.638671875,-0.0002889295121212
LR LS,raw,1.642578125,-0.0008324112615268
LR LS,raw,1.646484375,0.0002176325783547
LR LS,raw,1.650390625,0.0002070244854673
LR LS,raw,1.654296875,-0.0006253968792137
LR LS,raw,1.658203125,0.0012573758128452
LR LS,raw,1.662109375,-0.0007291018752404
LR LS,raw,1.666015625,0.0008013165090138
LR LS,raw,1.669921875,0.000681287474678
LR LS,raw,1.673828125,-0.0008048288401879
LR LS,raw,1.677734375,0.000490537597156
LR LS,raw,1.681640625,0.0007428637722438
LR LS,raw,1.685546875,-0.0014868800031042
LR LS,raw,1.689453125,0.0008137346079604
LR LS,raw,1.693359375,0.0006839759722516
LR LS,raw,1.697265625,0.0005586566484147
LR LS,raw,1.701171875,0.0009048177082542
LR LS,raw,1.705078125,0.0017586428783181
LR LS,raw,1.708984375,0.0003192158673466
LR LS,raw,1.712890625,0.0006294525666759
LR LS,raw,1.716796875,-0.0001180481235246
LR LS,raw,1.720703125,3.3704025400335767e-06
LR LS,raw,1.724609375,-5.515119784148837e-05
LR LS,raw,1.728515625,0.0001571339482888
LR LS,raw,1.732421875,-0.0009904935808685
LR LS,raw,1.736328125,-0.0003450687025423
LR LS,raw,1.740234375,0.0001831806234461
LR LS,raw,1.744140625,-5.35767230831416e-06
LR LS,raw,1.748046875,0.0009601997271992
LR LS,raw,1.751953125,0.0018952182727145
LR LS,raw,1.755859375,0.0001894877337934
LR LS,raw,1.759765625,-0.0007327735316801
LR LS,raw,1.763671875,0.0004879961503936
LR LS,raw,1.767578125,0.0004300585993537
LR LS,raw,1.771484375,6.223631538395877e-05
LR LS,raw,1.775390625,0.001109316115776
LR LS,raw,1.779296875,0.0003482994355541
LR LS,raw,1.783203125,0.0006114069778784
LR LS,raw,1.787109375,4.3900605382924274e-05
LR LS,raw,1.791015625,0.0002869674234258
LR LS,raw,1.794921875,0.0003338924675503
LR LS,raw,1.798828125,0.0008590777190718
LR LS,raw,1.802734375,0.0006252154310557
LR LS,raw,1.806640625,0.0005644081234535
LR LS,raw,1.810546875,-0.0001784083857708
LR LS,raw,1.814453125,0.0009828640285738
LR LS,raw,1.818359375,0.0010532166571946
LR LS,raw,1.822265625,-0.0001629393852705
LR LS,raw,1.826171875,0.0004555993079339
LR LS,raw,1.830078125,0.0010562055363915
LR LS,raw,1.833984375,-0.0001129664730952
LR LS,raw,1.837890625,0.0011786297297304
LR LS,raw,1.841796875,-0.0001376831685488
LR LS,raw,1.845703125,0.0016942727322709
LR LS,raw,1.849609375,0.0003882486259215
LR LS,raw,1.853515625,0.0017059937806016
LR LS,raw,1.857421875,0.0012685237597558
LR LS,raw,1.861328125,0.0008217436746097
LR LS,raw,1.865234375,-0.0010733435745211
LR LS,raw,1.869140625,-0.0001208877944895
LR LS,raw,1.873046875,0.0003200739573935
LR LS,raw,1.876953125,0.0010985162245908
LR LS,raw,1.880859375,0.0007538115952671
LR LS,raw,1.884765625,-1.046640736774955e-05
LR LS,raw,1.888671875,-9.4473059109182e-05
LR LS,raw,1.892578125,-0.0002898060807374
LR LS,raw,1.896484375,-2.84214632142095e-05
LR LS,raw,1.900390625,-0.0001580868380679
LR LS,raw,1.904296875,0.0006605983949781
LR LS,raw,1.908203125,0.0010982422212526
LR LS,raw,1.912109375,0.0006345433415456
LR LS,raw,1.916015625,0.0013725813551161
LR LS,raw,1.919921875,0.0034210460881798
